o1 o1
0 0.6209447010
1 0.7707707905
2 0.9007909959
3 0.9961012726
4 1.0463293416
5 1.0463293416
6 0.9961012726
7 0.9007909959
8 0.7707707905
9 0.6209447010
10 0.7707707905
11 0.9567480171
12 1.1181404508
13 1.2364478899
14 1.2987953555
15 1.2987953555
16 1.2364478899
17 1.1181404508
18 0.9567480171
19 0.7707707905
20 0.9007909959
21 1.1181404508
22 1.3067579399
23 1.4450224890
24 1.5178872580
25 1.5178872580
26 1.4450224890
27 1.3067579399
28 1.1181404508
29 0.9007909959
30 0.9961012726
31 1.2364478899
32 1.4450224890
33 1.5979164388
34 1.6784908335
35 1.6784908335
36 1.5979164388
37 1.4450224890
38 1.2364478899
39 0.9961012726
40 1.0463293416
41 1.2987953555
42 1.5178872580
43 1.6784908335
44 1.7631281646
45 1.7631281646
46 1.6784908335
47 1.5178872580
48 1.2987953555
49 1.0463293416
50 1.0463293416
51 1.2987953555
52 1.5178872580
53 1.6784908335
54 1.7631281646
55 1.7631281646
56 1.6784908335
57 1.5178872580
58 1.2987953555
59 1.0463293416
60 0.9961012726
61 1.2364478899
62 1.4450224890
63 1.5979164388
64 1.6784908335
65 1.6784908335
66 1.5979164388
67 1.4450224890
68 1.2364478899
69 0.9961012726
70 0.9007909959
71 1.1181404508
72 1.3067579399
73 1.4450224890
74 1.5178872580
75 1.5178872580
76 1.4450224890
77 1.3067579399
78 1.1181404508
79 0.9007909959
80 0.7707707905
81 0.9567480171
82 1.1181404508
83 1.2364478899
84 1.2987953555
85 1.2987953555
86 1.2364478899
87 1.1181404508
88 0.9567480171
89 0.7707707905
90 0.6209447010
91 0.7707707905
92 0.9007909959
93 0.9961012726
94 1.0463293416
95 1.0463293416
96 0.9961012726
97 0.9007909959
98 0.7707707905
99 0.6209447010
o1 o2
0 0.0000133349
1 0.0000165524
2 0.0000193446
3 0.0000213914
4 0.0000224701
5 0.0000224701
6 0.0000213914
7 0.0000193446
8 0.0000165524
9 0.0000133349
10 0.0000519216
11 0.0000644497
12 0.0000753216
13 0.0000832912
14 0.0000874911
15 0.0000874911
16 0.0000832912
17 0.0000753216
18 0.0000644497
19 0.0000519216
20 0.0001839295
21 0.0002283094
22 0.0002668226
23 0.0002950543
24 0.0003099324
25 0.0003099324
26 0.0002950543
27 0.0002668226
28 0.0002283094
29 0.0001839295
30 0.0005931619
31 0.0007362844
32 0.0008604871
33 0.0009515329
34 0.0009995137
35 0.0009995137
36 0.0009515329
37 0.0008604871
38 0.0007362844
39 0.0005931619
40 0.0017427758
41 0.0021632855
42 0.0025282070
43 0.0027957098
44 0.0029366825
45 0.0029366825
46 0.0027957098
47 0.0025282070
48 0.0021632855
49 0.0017427758
50 0.0046692766
51 0.0057959138
52 0.0067736181
53 0.0074903165
54 0.0078680131
55 0.0078680131
56 0.0074903165
57 0.0067736181
58 0.0057959138
59 0.0046692766
60 0.0114201763
61 0.0141757201
62 0.0165670018
63 0.0183199118
64 0.0192436871
65 0.0192436871
66 0.0183199118
67 0.0165670018
68 0.0141757201
69 0.0114201763
70 0.0255322389
71 0.0316928447
72 0.0370390646
73 0.0409580686
74 0.0430233653
75 0.0430233653
76 0.0409580686
77 0.0370390646
78 0.0316928447
79 0.0255322389
80 0.0522641219
81 0.0648747923
82 0.0758184268
83 0.0838405710
84 0.0880682034
85 0.0880682034
86 0.0838405710
87 0.0758184268
88 0.0648747923
89 0.0522641219
90 0.0981481301
91 0.1218300305
92 0.1423813614
93 0.1574463510
94 0.1653855299
95 0.1653855299
96 0.1574463510
97 0.1423813614
98 0.1218300305
99 0.0981481301
o1 o3
0 0.0005964454
1 0.0008867116
2 0.0011938262
3 0.0014556163
4 0.0016073106
5 0.0016073106
6 0.0014556163
7 0.0011938262
8 0.0008867116
9 0.0005964454
10 0.0012998883
11 0.0019324921
12 0.0026018152
13 0.0031723584
14 0.0035029596
15 0.0035029596
16 0.0031723584
17 0.0026018152
18 0.0019324921
19 0.0012998883
20 0.0025950599
21 0.0038579721
22 0.0051941897
23 0.0063332058
24 0.0069932087
25 0.0069932087
26 0.0063332058
27 0.0051941897
28 0.0038579721
29 0.0025950599
30 0.0047554320
31 0.0070697112
32 0.0095183221
33 0.0116055624
34 0.0128150139
35 0.0128150139
36 0.0116055624
37 0.0095183221
38 0.0070697112
39 0.0047554320
40 0.0080189274
41 0.0119214198
42 0.0160504313
43 0.0195700755
44 0.0216095334
45 0.0216095334
46 0.0195700755
47 0.0160504313
48 0.0119214198
49 0.0080189274
50 0.0124801639
51 0.0185537622
52 0.0249799008
53 0.0304576579
54 0.0336317444
55 0.0336317444
56 0.0304576579
57 0.0249799008
58 0.0185537622
59 0.0124801639
60 0.0179894190
61 0.0267441522
62 0.0360070515
63 0.0439029147
64 0.0484781730
65 0.0484781730
66 0.0439029147
67 0.0360070515
68 0.0267441522
69 0.0179894190
70 0.0241114201
71 0.0358454872
72 0.0482606551
73 0.0588435691
74 0.0649758391
75 0.0649758391
76 0.0588435691
77 0.0482606551
78 0.0358454872
79 0.0241114201
80 0.0301775736
81 0.0448637958
82 0.0604024758
83 0.0736479282
84 0.0813230061
85 0.0813230061
86 0.0736479282
87 0.0604024758
88 0.0448637958
89 0.0301775736
90 0.0354196942
91 0.0526570476
92 0.0708949385
93 0.0864412471
94 0.0954495563
95 0.0954495563
96 0.0864412471
97 0.0708949385
98 0.0526570476
99 0.0354196942
o2 o1
0 0.0981481301
1 0.1218300305
2 0.1423813614
3 0.1574463510
4 0.1653855299
5 0.1653855299
6 0.1574463510
7 0.1423813614
8 0.1218300305
9 0.0981481301
10 0.0522641219
11 0.0648747923
12 0.0758184268
13 0.0838405710
14 0.0880682034
15 0.0880682034
16 0.0838405710
17 0.0758184268
18 0.0648747923
19 0.0522641219
20 0.0255322389
21 0.0316928447
22 0.0370390646
23 0.0409580686
24 0.0430233653
25 0.0430233653
26 0.0409580686
27 0.0370390646
28 0.0316928447
29 0.0255322389
30 0.0114201763
31 0.0141757201
32 0.0165670018
33 0.0183199118
34 0.0192436871
35 0.0192436871
36 0.0183199118
37 0.0165670018
38 0.0141757201
39 0.0114201763
40 0.0046692766
41 0.0057959138
42 0.0067736181
43 0.0074903165
44 0.0078680131
45 0.0078680131
46 0.0074903165
47 0.0067736181
48 0.0057959138
49 0.0046692766
50 0.0017427758
51 0.0021632855
52 0.0025282070
53 0.0027957098
54 0.0029366825
55 0.0029366825
56 0.0027957098
57 0.0025282070
58 0.0021632855
59 0.0017427758
60 0.0005931619
61 0.0007362844
62 0.0008604871
63 0.0009515329
64 0.0009995137
65 0.0009995137
66 0.0009515329
67 0.0008604871
68 0.0007362844
69 0.0005931619
70 0.0001839295
71 0.0002283094
72 0.0002668226
73 0.0002950543
74 0.0003099324
75 0.0003099324
76 0.0002950543
77 0.0002668226
78 0.0002283094
79 0.0001839295
80 0.0000519216
81 0.0000644497
82 0.0000753216
83 0.0000832912
84 0.0000874911
85 0.0000874911
86 0.0000832912
87 0.0000753216
88 0.0000644497
89 0.0000519216
90 0.0000133349
91 0.0000165524
